"Deidentified subject id","gender","timezone","age","race","duration of data collection (days)"
"0bc0d3aa-83b4-49e6-98cf-e699a6c7dea5","Woman","America/Detroit",25,"Black",269
"0bc9815c-534f-4425-b38c-14ed4af5706a","Woman","America/Detroit",20,"White",11
"0bd64bc8-c23e-4178-b228-54b2e7d53998","Woman","America/Detroit",20,"Asian",18
"0bfe90fd-7809-4bf6-b678-c28a6b70776e","Man","America/Detroit",20,"Asian",44
"0c2241b7-4ebd-45c7-a2a4-81ae40d10142","Man","Europe/Berlin",40,"Asian",170
"0c2a0d2f-08b6-4298-afac-2de958073091","Woman","America/Chicago",56,"White",882
"0c761f39-8d8e-400b-8d1b-b1286fd6158b","Man","America/Detroit",23,"White",17
"0c7cac44-67a1-46a6-8d7f-421b6c803f9c","Man","America/Detroit",19,"White",26
"0c95e9b4-45c4-4f3f-b583-97dcbbcc9eb3","Woman","America/Detroit",23,"Asian",199
"0cbb143f-0ad4-4f17-b1cd-c8f6008a4626","Woman","America/New_York",19,"White",305
"0cbc564a-d5ef-4434-a98f-fe012903275c","Woman","America/New_York",21,"White",34
"0cce717d-7766-4eb8-aa16-afe78f02fb60","Woman","America/Chicago",21,"White",70
"0d0caf89-2be0-4124-9f5d-40ec17f4de66","Woman","America/Detroit",28,"Asian",2
"0d9dcbb3-c806-4b02-81eb-2bc5ef3578a6","Woman","America/Los_Angeles",29,"White",95
"0d9df265-d60c-47ff-8cf5-f867d5f9603e","Man","America/Los_Angeles",28,"White",2
"0dce2188-8534-46d4-8e41-ceb97b5b282e","Man","America/New_York",19,"White",98
"0e124861-e77f-47d6-bcfc-0c21ee9e5900","Man","America/Detroit",19,"White",29
"0e2c0e92-e7e7-4258-ab1b-60d575e12e41","Woman","America/Detroit",20,"Black",4
"0e46a5c9-edbd-4bfa-8096-11dfba07f186","Man","Europe/Madrid",46,"White",543
"0e5b77d1-0617-4110-818e-91c969ea05ce","Man","America/Detroit",18,"White",28
"0e670d78-6f5a-4fd4-bd1e-5fa6d0bdfab8","Woman","America/Detroit",19,"White",3
"0e677d58-abb2-480a-aab1-5b472c0b220b","Woman","America/Los_Angeles",41,"White",125
"0e798f70-8cbe-450c-8b54-2828c744d6e1","Woman","America/Detroit",27,"Asian",33
"0e8b9072-2b5e-4251-968a-4c6af6600d2e","Woman","America/Detroit",19,"White",13
"0e8df2ff-3a8e-4265-9886-72a6cb896048","Woman","America/Detroit",25,"Asian",367
"0ed291c7-e0c8-412b-afbb-9e23d0d166d7","Man","America/Detroit",21,"White",7
"0f2608c4-8161-499f-8772-70fd65390c62","Woman","America/Detroit",26,"White",126
"0f5e9a80-5484-4c9f-9e56-34e017dc3195","Man","America/Los_Angeles",49,"Asian",41
"0f72f7ac-bb4b-4d65-b193-c99cf8613b27","Man","Europe/Belgrade",59,"",224
"0f75ec85-b2d9-4292-b346-55c18fa9d4c7","Woman","America/Detroit",23,"White",63
"0fae2711-1700-40ea-821b-489238144159","Man","America/New_York",63,"White",331
"0fb1cbe1-4bf7-43c4-810f-63269dada686","Woman","America/Detroit",20,"Asian",370
"1044f8f4-a4b2-4f6d-9df0-c7d82ca6518c","Woman","America/New_York",18,"Asian",3
"10b1a871-2b60-44c2-b7e0-9e514c04ebbc","Woman","America/Detroit",20,"White",508
"10cc1e9e-3fb3-4b68-9dce-c49c684063b3","Man","America/New_York",78,"White",436
"10fc0157-913b-4211-8fe1-38ae6c8cb249","Woman","America/Detroit",28,"Asian",127
"11318fd5-5ac6-41c0-8147-760c14891eee","Woman","America/Chicago",46,"Black",454
"1138e24c-9012-4bc6-ab4a-7ccd2170c07b","Woman","America/Detroit",22,"Black",142
"11444493-d318-4a64-ace0-18cf60a9b684","Woman","America/Detroit",33,"White",8
"1168f49d-a887-41d7-b29b-63347f6a790c","Woman","America/Detroit",18,"Black",27
"11a925e8-5247-4885-8e3e-dbad59b5a691","Woman","America/Detroit",21,"Asian",45
"11d00b90-c9ac-4a10-8080-d7859254ec12","Man","America/Detroit",52,"White",65
"11e4e212-77bd-40ed-b842-850e823df59a","Woman","America/Detroit",24,"",16
"1229ce38-e433-4359-87c7-de082897d58c","Woman","America/Detroit",20,"White",10
"1247ac4a-85ea-409c-ab5f-d930abe5fba8","Woman","America/Detroit",20,"White",92
"1256ebcb-a327-4e79-93a6-e67dcf1c8e71","Man","Europe/Madrid",32,"",38
"125ed94b-8f02-49db-b195-10e1c0ac8814","Woman","America/Detroit",19,"Asian",9
"12688338-e398-4319-8889-596ad2523873","Man","America/Detroit",19,"White",4
"127c04f8-bdd3-44d8-bc17-709e66566dce","Man","America/Detroit",21,"NativeAmerican",30
"1295b2a5-f4af-4c6d-bfcc-996e5a4af6a2","Man","America/Detroit",19,"White",1
"12b420f6-0f1a-49ef-b793-806aef24296e","Woman","America/Detroit",22,"White",1
"12e2950d-e8d5-4ceb-813e-78f1be991281","Man","Asia/Taipei",46,"Asian",36
"12f40b6a-cbed-4946-813b-120d56a8f1d1","Woman","America/Detroit",32,"White",168
"13076f73-c918-47d6-a402-67042b930c30","Man","America/Detroit",26,"Asian",1
"130dfa3c-bc1e-4baa-8998-196de653b335","Man","America/New_York",18,"White",16
"134775c6-ff0c-4028-9a43-a29ad7a41289","Woman","America/Los_Angeles",26,"White",3
"135380ff-b73e-46ba-a48a-cc7c80a38a2f","Woman","America/Detroit",19,"Asian",1
"1392907d-cff0-47fd-8be4-33e67b065cda","Woman","America/Detroit",19,"White",154
"13a2c567-6f63-4e2a-8508-bdf92c4bafc5","Man","America/Detroit",21,"White",38
"13cfcdf9-c888-4d72-8b19-16793091a144","Woman","America/Detroit",19,"Asian",8
"13d524e5-08bf-4908-b832-c2f4cb5e056f","Woman","America/Detroit",34,"White",1
"13d58091-df22-4838-8bd5-3118e320c4a4","Woman","America/Detroit",19,"White",6
"1400451d-6759-47d1-98f9-f246fea318ce","Woman","America/Toronto",43,"White",405
"142af21d-dd5d-4ccc-b616-4ca3157fce66","Man","America/Detroit",19,"Asian",5
"14a5f9fb-cbae-4452-97de-d8d948093bb1","Man","America/Chicago",18,"Asian",113
"14aed269-549d-45cf-a9d8-e85fb424c1aa","Woman","America/Detroit",19,"White",63
"14c3c1ca-18c8-4b0b-868e-70598f9ecba9","Man","America/Detroit",21,"Asian",24
"152c655d-900d-4fe1-8526-76bb9b31e85d","Woman","America/New_York",45,"White",589
"1564cced-cfe2-4926-9a36-142b73dc08cb","Woman","America/Detroit",44,"Hispanic",26
"1587455b-7c5d-47ca-aacb-cb3d97c42bcd","Woman","America/New_York",19,"White",19
"15d2d56c-f4db-4fa8-a1a1-465b7f19c7cf","Man","America/New_York",58,"White",332
